Name	Treatment	Genotype	Time	new_id	Rep
Synthego_G1_1_30_S2_PDUI	NTC	G1	0	G1_NTC	1
Synthego_G1_1_32_S4_PDUI	NTC	G1	0	G1_NTC	2
Synthego_G1_2_2_S6_PDUI	NTC	G1	0	G1_NTC	3
Synthego_G1_24hour_A_S43_PDUI	IL6	G1	24	G1_IL6_24	1
Synthego_G1_24hour_B_S57_PDUI	IL6	G1	24	G1_IL6_24	2
Synthego_G1_24hour_C_S59_PDUI	IL6	G1	24	G1_IL6_24	3
Synthego_G1_4hour_A_S54_PDUI	IL6	G1	4	G1_IL6_4	1
Synthego_G1_4hour_B_S55_PDUI	IL6	G1	4	G1_IL6_4	2
Synthego_G1_4hour_C_S56_PDUI	IL6	G1	4	G1_IL6_4	3
Synthego_G1_Control_A_S61_PDUI	NTC	G1	0	G1_Serum_Starved	1
Synthego_G1_Control_B_S50_PDUI	NTC	G1	0	G1_Serum_Starved	2
Synthego_G1_Control_C_S49_PDUI	NTC	G1	0	G1_Serum_Starved	3
Synthego_G1_Cytoplasm1_S71_PDUI	Cytoplasm	G1	0	G1_Cyto	1
Synthego_G1_Cytoplasm2_S72_PDUI	Cytoplasm	G1	0	G1_Cyto	2
Synthego_G1_Cytoplasm3_S73_PDUI	Cytoplasm	G1	0	G1_Cyto	3
Synthego_G1_Ethanol_Control_2_S28_PDUI	Etoh	G1	0	G1_Serum_Starved	1
Synthego_G1_Ethanol_Control_3_S29_PDUI	Etoh	G1	0	G1_Serum_Starved	2
Synthego_G1_Ethanol_Control_4_S30_PDUI	Etoh	G1	0	G1_Serum_Starved	3
Synthego_G1_Ethanol_Treated_24hour_2_S34_PDUI	Etoh	G1	24	G1_Etoh_24	1
Synthego_G1_Ethanol_Treated_24hour_3_S35_PDUI	Etoh	G1	24	G1_Etoh_24	2
Synthego_G1_Ethanol_Treated_24hour_4_S36_PDUI	Etoh	G1	24	G1_Etoh_24	3
Synthego_G1_Ethanol_Treated_3hour_2_S31_PDUI	Etoh	G1	3	G1_Etoh_3	1
Synthego_G1_Ethanol_Treated_3hour_3_S32_PDUI	Etoh	G1	3	G1_Etoh_3	2
Synthego_G1_Ethanol_Treated_3hour_4_S33_PDUI	Etoh	G1	3	G1_Etoh_3	3
Synthego_G1_Nuclear1_S65_PDUI	Nuclear	G1	0	G1_Nuclear	1
Synthego_G1_Nuclear2_S66_PDUI	Nuclear	G1	0	G1_Nuclear	2
Synthego_G1_Nuclear3_S67_PDUI	Nuclear	G1	0	G1_Nuclear	3
Synthego_G1_Peroxide_Treated_3hour_2_S16_PDUI	Peroxide	G1	3	G1_Perox_3	1
Synthego_G1_Peroxide_Treated_3hour_3_S17_PDUI	Peroxide	G1	3	G1_Perox_3	2
Synthego_G1_Peroxide_Treated_3hour_4_S18_PDUI	Peroxide	G1	3	G1_Perox_3	3
Synthego_G1_Peroxide_Treated_Control_2_S13_PDUI	NTC	G1	0	G1_Serum_Starved	1
Synthego_G1_Peroxide_Treated_Control_3_S14_PDUI	NTC	G1	0	G1_Serum_Starved	2
Synthego_G1_Peroxide_Treated_Control_4_S15_PDUI	NTC	G1	0	G1_Serum_Starved	3
Synthego_Wildtype_1_30_S1_PDUI	NTC	WT	0	WT_NTC	1
Synthego_Wildtype_1_32_S3_PDUI	NTC	WT	0	WT_NTC	2
Synthego_Wildtype_2_2_S5_PDUI	NTC	WT	0	WT_NTC	3
Synthego_Wildtype_24hour_A_S58_PDUI	IL6	WT	24	WT_IL6_24	1
Synthego_Wildtype_24hour_B_S53_PDUI	IL6	WT	24	WT_IL6_24	2
Synthego_Wildtype_24hour_C_S48_PDUI	IL6	WT	24	WT_IL6_24	3
Synthego_Wildtype_4hour_A1_S45_PDUI	IL6	WT	4	WT_IL6_4	1
Synthego_Wildtype_4hour_A2_S46_PDUI	IL6	WT	4	WT_IL6_4	2
Synthego_Wildtype_4hour_B_S51_PDUI	IL6	WT	4	WT_IL6_4	3
Synthego_Wildtype_4hour_C_S52_PDUI	IL6	WT	4	WT_IL6_4	4
Synthego_Wildtype_Control_A_S44_PDUI	NTC	WT	0	WT_Serum_Starved	1
Synthego_Wildtype_Control_B_S60_PDUI	NTC	WT	0	WT_Serum_Starved	2
Synthego_Wildtype_Control_C_S47_PDUI	NTC	WT	0	WT_Serum_Starved	3
Synthego_Wildtype_Cytoplasm1_S68_PDUI	Cytoplasm	WT	0	WT_Cytoplasm	1
Synthego_Wildtype_Cytoplasm2_S69_PDUI	Cytoplasm	WT	0	WT_Cytoplasm	2
Synthego_Wildtype_Cytoplasm3_S70_PDUI	Cytoplasm	WT	0	WT_Cytoplasm	3
Synthego_Wildtype_Ethanol_Control_2_S19_PDUI	NTC	WT	0	WT_Serum_Starved	1
Synthego_Wildtype_Ethanol_Control_3_S20_PDUI	NTC	WT	0	WT_Serum_Starved	2
Synthego_Wildtype_Ethanol_Control_4_S21_PDUI	NTC	WT	0	WT_Serum_Starved	3
Synthego_Wildtype_Ethanol_Treated_24hour_2_S25_PDUI	Etoh	WT	24	WT_Etoh_24	1
Synthego_Wildtype_Ethanol_Treated_24hour_3_S26_PDUI	Etoh	WT	24	WT_Etoh_24	2
Synthego_Wildtype_Ethanol_Treated_24hour_4_S27_PDUI	Etoh	WT	24	WT_Etoh_24	3
